Время[с],Напряжение[В]
0.2235,1.9223
0.2243,1.9148
0.2251,1.9148
0.2259,1.9223
0.2268,1.9260
0.2275,1.9186
0.2283,1.9186
0.2291,1.9223
0.2299,1.9223
0.2306,1.9223
0.2314,1.9223
0.2322,1.9223
0.2329,1.9186
0.2337,1.9223
0.2346,1.9260
0.2354,1.9223
0.2361,1.9223
0.2370,1.9223
0.2379,1.9223
0.2387,1.9223
0.2397,1.9186
0.2405,1.9148
0.2414,1.9111
0.2424,1.9186
0.2432,1.9148
0.2440,1.9223
0.2447,1.9148
0.2455,1.9260
0.2462,1.9186
0.2469,1.9223
0.2477,1.9223
0.2485,1.9186
0.2493,1.9148
0.2501,1.9223
0.2508,1.9223
0.2516,1.9148
0.2524,1.9260
0.2532,1.9186
0.2539,1.9186
0.2548,1.9186
0.2555,1.9148
0.2563,1.9148
0.2571,1.9223
0.2578,1.9223
0.2586,1.9223
0.2594,1.9223
0.2602,1.9148
0.2609,1.9260
0.2617,1.9223
0.2625,1.9148
0.2632,1.9223
0.2640,1.9223
0.2647,1.9223
0.2656,1.9223
0.2665,1.9148
0.2673,1.9186
0.2682,1.9223
0.2690,1.9223
0.2699,1.9148
0.2708,1.9186
0.2715,1.9223
0.2722,1.9148
0.2730,1.9223
0.2738,1.9223
0.2745,1.9186
0.2752,1.9260
0.2759,1.9148
0.2766,1.9223
0.2773,1.9148
0.2781,1.9223
0.2789,1.9148
0.2797,1.9148
0.2804,1.9260
0.2811,1.9186
0.2819,1.9223
0.2826,1.9223
0.2835,1.9223
0.2843,1.9148
0.2851,1.9223
0.2860,1.9223
0.2868,1.9223
0.2876,1.9223
0.2885,1.9223
0.2893,1.9223
0.2900,1.9223
0.2907,1.9148
0.2916,1.9223
0.2924,1.9223
0.2932,1.9186
0.2941,1.9223
0.2948,1.9186
0.2955,1.9148
0.2962,1.9223
0.2968,1.9223
0.2976,1.9260
0.2985,1.9148
0.2995,1.9186
0.3005,1.9223
0.3016,1.9223
0.3027,1.9260
0.3035,1.9223
0.3042,1.9223
0.3050,1.9223
0.3058,1.9148
0.3065,1.9223
0.3073,1.9223
0.3081,1.9148
0.3088,1.9148
0.3095,1.9223
0.3102,1.9186
0.3109,1.9148
0.3117,1.9223
0.3124,1.9223
0.3132,1.9223
0.3139,1.9223
0.3147,1.9223
0.3154,1.9223
0.3161,1.9223
0.3169,1.9186
0.3177,1.9223
0.3184,1.9148
0.3191,1.9186
0.3198,1.9223
0.3205,1.9186
0.3213,1.9223
0.3220,1.9223
0.3227,1.9186
0.3235,1.9223
0.3243,1.9223
0.3250,1.9223
0.3258,1.9186
0.3265,1.9186
0.3273,1.9223
0.3280,1.9148
0.3288,1.9186
0.3295,1.9186
0.3303,1.9223
0.3310,1.9148
0.3318,1.9148
0.3325,1.9148
0.3333,1.9186
0.3340,1.9223
0.3347,1.9186
0.3354,1.9223
0.3362,1.9223
0.3370,1.9223
0.3377,1.9260
0.3385,1.9186
0.3392,1.9186
0.3399,1.9186
0.3407,1.9223
0.3414,1.9223
0.3422,1.9148
0.3429,1.9186
0.3436,1.9148
0.3444,1.9223
0.3451,1.9223
0.3459,1.9223
0.3466,1.9223
0.3474,1.9223
0.3482,1.9223
0.3489,1.9223
0.3497,1.9223
0.3504,1.9223
0.3512,1.9223
0.3519,1.9148
0.3527,1.9260
0.3534,1.9148
0.3542,1.9148
0.3549,1.9223
0.3556,1.9186
0.3564,1.9148
0.3571,1.9223
0.3579,1.9223
0.3586,1.9223
0.3594,1.9223
0.3601,1.9186
0.3609,1.9223
0.3616,1.9148
0.3624,1.9223
0.3631,1.9223
0.3639,1.9260
0.3646,1.9148
0.3654,1.9148
0.3662,1.9186
0.3669,1.9223
0.3677,1.9223
0.3684,1.9186
0.3692,1.9186
0.3700,1.9223
0.3708,1.9223
0.3717,1.9223
0.3726,1.9148
0.3733,1.9148
0.3741,1.9223
0.3749,1.9148
0.3756,1.9223
0.3764,1.9223
0.3771,1.9186
0.3778,1.9148
0.3785,1.9223
0.3792,1.9223
0.3799,1.9223
0.3807,1.9223
0.3814,1.9223
0.3822,1.9148
0.3829,1.9223
0.3837,1.9186
0.3844,1.9223
0.3851,1.9186
0.3859,1.9223
0.3866,1.9148
0.3873,1.9111
0.3881,1.9186
0.3888,1.9223
0.3895,1.9223
0.3902,1.9148
0.3911,1.9186
0.3918,1.9148
0.3926,1.9148
0.3934,1.9223
0.3941,1.9260
0.3949,1.9223
0.3956,1.9223
0.3964,1.9223
0.3971,1.9260
0.3979,1.9186
0.3986,1.9223
0.3994,1.9223
0.4002,1.9223
0.4010,1.9223
0.4018,1.9186
0.4025,1.9148
0.4033,1.9223
0.4041,1.9260
0.4049,1.9186
0.4057,1.9186
0.4065,1.9223
0.4073,1.9223
0.4080,1.9223
0.4088,1.9186
0.4096,1.9223
0.4104,1.9148
0.4112,1.9223
0.4120,1.9223
0.4127,1.9223
0.4135,1.9223
0.4142,1.9223
0.4150,1.9223
0.4158,1.9223
0.4165,1.9148
0.4174,1.9148
0.4182,1.9223
0.4190,1.9186
0.4197,1.9223
0.4205,1.9223
0.4212,1.9148
0.4220,1.9223
0.4228,1.9148
0.4235,1.9223
0.4242,1.9223
0.4250,1.9148
0.4257,1.9260
0.4265,1.9223
0.4273,1.9186
0.4280,1.9186
0.4287,1.9186
0.4295,1.9186
0.4303,1.9223
0.4310,1.9148
0.4318,1.9223
0.4325,1.9148
0.4333,1.9186
0.4340,1.9223
0.4347,1.9260
0.4354,1.9260
0.4362,1.9148
0.4369,1.9148
0.4377,1.9186
0.4385,1.9223
0.4393,1.9223
0.4401,1.9148
0.4409,1.9223
0.4417,1.9186
0.4425,1.9223
0.4433,1.9260
0.4441,1.9223
0.4450,1.9260
0.4458,1.9223
0.4466,1.9186
0.4473,1.9223
0.4482,1.9186
0.4489,1.9223
0.4497,1.9148
0.4504,1.9148
0.4512,1.9186
0.4519,1.9223
0.4526,1.9148
0.4533,1.9223
0.4541,1.9223
0.4549,1.9260
0.4556,1.9186
0.4563,1.9223
0.4571,1.9148
0.4578,1.9186
0.4586,1.9186
0.4593,1.9186
0.4601,1.9223
0.4608,1.9223
0.4616,1.9223
0.4623,1.9223
0.4631,1.9260
0.4638,1.9223
0.4646,1.9186
0.4654,1.9148
0.4661,1.9223
0.4669,1.9111
0.4676,1.9186
0.4683,1.9148
0.4691,1.9223
0.4698,1.9186
0.4705,1.9223
0.4713,1.9223
0.4720,1.9148
0.4727,1.9223
0.4735,1.9223
0.4742,1.9223
0.4750,1.9148
0.4757,1.9223
0.4765,1.9148
0.4773,1.9260
0.4781,1.9186
0.4788,1.9186
0.4796,1.9223
0.4803,1.9223
0.4811,1.9186
0.4819,1.9223
0.4827,1.9186
0.4834,1.9223
0.4843,1.9148
0.4850,1.9186
0.4857,1.9223
0.4864,1.9223
0.4871,1.9186
0.4879,1.9186
0.4886,1.9260
0.4893,1.9186
0.4901,1.9223
0.4908,1.9260
0.4915,1.9148
0.4922,1.9223
0.4930,1.9223
0.4938,1.9223
0.4946,1.9148
0.4954,1.9148
0.4962,1.9223
0.4969,1.9223
0.4976,1.9223
0.4983,1.9186
0.4991,1.9186
0.4998,1.9148
0.5006,1.9223
0.5014,1.9223
0.5021,1.9223
0.5028,1.9186
0.5036,1.9260
0.5044,1.9186
0.5051,1.9186
0.5058,1.9223
0.5066,1.9223
0.5073,1.9260
0.5081,1.9148
0.5090,1.9186
0.5097,1.9223
0.5105,1.9186
0.5113,1.9148
0.5121,1.9223
0.5129,1.9223
0.5137,1.9148
0.5145,1.9148
0.5153,1.9223
0.5161,1.9223
0.5169,1.9223
0.5176,1.9148
0.5184,1.9223
0.5191,1.9186
0.5199,1.9223
0.5207,1.9186
0.5215,1.9148
0.5222,1.9223
0.5229,1.9223
0.5237,1.9223
0.5244,1.9186
0.5252,1.9186
0.5260,1.9223
0.5268,1.9260
0.5275,1.9223
0.5283,1.9223
0.5291,1.9223
0.5298,1.9223
0.5306,1.9223
0.5314,1.9260
0.5321,1.9223
0.5329,1.9223
0.5337,1.9186
0.5345,1.9148
0.5352,1.9223
0.5360,1.9260
0.5368,1.9223
0.5375,1.9111
0.5383,1.9223
0.5390,1.9223
0.5398,1.9223
0.5406,1.9260
0.5413,1.9223
0.5421,1.9223
0.5429,1.9186
0.5436,1.9223
0.5444,1.9223
0.5451,1.9223
0.5459,1.9186
0.5466,1.9186
0.5475,1.9223
0.5482,1.9223
0.5490,1.9186
0.5498,1.9148
0.5506,1.9186
0.5514,1.9223
0.5521,1.9223
0.5529,1.9260
0.5537,1.9223
0.5544,1.9223
0.5552,1.9260
0.5561,1.9186
0.5569,1.9223
0.5578,1.9148
0.5587,1.9223
0.5595,1.9223
0.5604,1.9223
0.5612,1.9148
0.5620,1.9260
0.5628,1.9148
0.5636,1.9223
0.5643,1.9260
0.5650,1.9186
0.5657,1.9223
0.5663,1.9260
0.5670,1.9223
0.5676,1.9223
0.5683,1.9186
0.5689,1.9186
0.5696,1.9186
0.5703,1.9223
0.5710,1.9223
0.5716,1.9148
0.5723,1.9186
0.5730,1.9223
0.5737,1.9223
0.5743,1.9223
0.5750,1.9223
0.5757,1.9223
0.5764,1.9186
0.5772,1.9223
0.5780,1.9223
0.5787,1.9148
0.5795,1.9223
0.5803,1.9186
0.5811,1.9223
0.5819,1.9186
0.5827,1.9223
0.5835,1.9148
0.5843,1.9260
0.5851,1.9223
0.5859,1.9186
0.5868,1.9223
0.5875,1.9223
0.5883,1.9260
0.5891,1.9260
0.5898,1.9223
0.5906,1.9260
0.5913,1.9223
0.5921,1.9223
0.5928,1.9186
0.5936,1.9148
0.5943,1.9223
0.5951,1.9148
0.5958,1.9223
0.5967,1.9223
0.5975,1.9223
0.5983,1.9223
0.5991,1.9223
0.5999,1.9223
0.6007,1.9223
0.6015,1.9223
0.6023,1.9223
0.6031,1.9223
0.6039,1.9223
0.6047,1.9223
0.6055,1.9260
0.6062,1.9148
0.6071,1.9223
0.6079,1.9186
0.6087,1.9186
0.6094,1.9186
0.6101,1.9186
0.6109,1.9186
0.6117,1.9223
0.6124,1.9186
0.6132,1.9223
0.6139,1.9148
0.6147,1.9148
0.6154,1.9186
0.6163,1.9223
0.6170,1.9223
0.6178,1.9223
0.6186,1.9186
0.6194,1.9223
0.6202,1.9223
0.6210,1.9223
0.6218,1.9148
0.6225,1.9223
0.6233,1.9148
0.6241,1.9148
0.6248,1.9223
0.6256,1.9223
0.6264,1.9223
0.6271,1.9223
0.6279,1.9223
0.6287,1.9223
0.6295,1.9223
0.6302,1.9223
0.6310,1.9223
0.6317,1.9223
0.6324,1.9223
0.6331,1.9148
0.6338,1.9223
0.6344,1.9186
0.6351,1.9223
0.6358,1.9223
0.6365,1.9186
0.6372,1.9223
0.6379,1.9223
0.6386,1.9223
0.6393,1.9223
0.6400,1.9223
0.6407,1.9148
0.6414,1.9186
0.6421,1.9223
0.6428,1.9260
0.6436,1.9148
0.6443,1.9223
0.6451,1.9260
0.6459,1.9223
0.6467,1.9223
0.6475,1.9148
0.6482,1.9223
0.6490,1.9186
0.6498,1.9260
0.6506,1.9223
0.6513,1.9111
0.6521,1.9148
0.6529,1.9186
0.6536,1.9223
0.6544,1.9148
0.6552,1.9223
0.6560,1.9148
0.6569,1.9148
0.6577,1.9186
0.6584,1.9186
0.6592,1.9223
0.6600,1.9223
0.6608,1.9148
0.6616,1.9223
0.6624,1.9148
0.6632,1.9186
0.6640,1.9223
0.6648,1.9148
0.6656,1.9223
0.6663,1.9223
0.6670,1.9223
0.6677,1.9223
0.6685,1.9148
0.6693,1.9186
0.6701,1.9186
0.6711,1.9223
0.6721,1.9223
0.6729,1.9148
0.6738,1.9148
0.6745,1.9223
0.6754,1.9223
0.6761,1.9148
0.6768,1.9223
0.6774,1.9223
0.6780,1.9186
0.6786,1.9223
0.6792,1.9223
0.6798,1.9260
0.6804,1.9223
0.6811,1.9223
0.6817,1.9223
0.6823,1.9223
0.6829,1.9148
0.6835,1.9148
0.6841,1.9223
0.6847,1.9223
0.6853,1.9186
0.6859,1.9223
0.6866,1.9186
0.6874,1.9148
0.6880,1.9223
0.6887,1.9148
0.6895,1.9223
0.6903,1.9223
0.6910,1.9186
0.6917,1.9148
0.6925,1.9186
0.6932,1.9223
0.6940,1.9260
0.6948,1.9186
0.6955,1.9186
0.6962,1.9186
0.6970,1.9223
0.6977,1.9223
0.6984,1.9223
0.6992,1.9186
0.6999,1.9223
0.7006,1.9223
0.7013,1.9223
0.7020,1.9223
0.7027,1.9111
0.7035,1.9148
0.7042,1.9186
0.7049,1.9223
0.7056,1.9186
0.7063,1.9186
0.7070,1.9223
0.7077,1.9223
0.7085,1.9260
0.7092,1.9223
0.7100,1.9260
0.7107,1.9186
0.7115,1.9148
0.7122,1.9148
