Время[с],Напряжение[В]
0.0006,1.5660
0.0012,1.5660
0.0019,1.5660
0.0025,1.5586
0.0032,1.5660
0.0039,1.5660
0.0046,1.5660
0.0052,1.5623
0.0059,1.5660
0.0066,1.5660
0.0073,1.5623
0.0081,1.5660
0.0089,1.5660
0.0096,1.5660
0.0104,1.5623
0.0111,1.5623
0.0119,1.5660
0.0126,1.5623
0.0134,1.5660
0.0141,1.5697
0.0148,1.5623
0.0155,1.5660
0.0162,1.5660
0.0169,1.5660
0.0176,1.5660
0.0183,1.5660
0.0191,1.5623
0.0214,1.5623
0.0224,1.5660
0.0231,1.5660
0.0238,1.5623
0.0245,1.5660
0.0252,1.5697
0.0258,1.5660
0.0265,1.5623
0.0271,1.5660
0.0278,1.5660
0.0286,1.5623
0.0292,1.5660
0.0299,1.5623
0.0307,1.5623
0.0316,1.5660
0.0324,1.5660
0.0332,1.5660
0.0339,1.5660
0.0346,1.5660
0.0353,1.5623
0.0361,1.5660
0.0368,1.5623
0.0375,1.5660
0.0382,1.5697
0.0389,1.5660
0.0397,1.5586
0.0405,1.5586
0.0413,1.5586
0.0420,1.5586
0.0428,1.5623
0.0435,1.5586
0.0442,1.5623
0.0449,1.5623
0.0456,1.5660
0.0463,1.5623
0.0472,1.5586
0.0481,1.5697
0.0489,1.5660
0.0497,1.5623
0.0504,1.5660
0.0511,1.5623
0.0518,1.5623
0.0524,1.5660
0.0530,1.5660
0.0537,1.5660
0.0542,1.5660
0.0548,1.5660
0.0553,1.5623
0.0559,1.5623
0.0565,1.5586
0.0570,1.5586
0.0576,1.5586
0.0581,1.5660
0.0587,1.5660
0.0592,1.5660
0.0598,1.5586
0.0604,1.5660
0.0609,1.5660
0.0615,1.5623
0.0621,1.5660
0.0628,1.5660
0.0634,1.5549
0.0641,1.5586
0.0648,1.5623
0.0655,1.5660
0.0662,1.5623
0.0668,1.5660
0.0675,1.5586
0.0681,1.5623
0.0688,1.5660
0.0695,1.5660
0.0702,1.5660
0.0708,1.5623
0.0716,1.5660
0.0723,1.5623
0.0730,1.5660
0.0737,1.5623
0.0744,1.5660
0.0750,1.5586
0.0757,1.5660
0.0764,1.5623
0.0771,1.5623
0.0777,1.5623
0.0783,1.5660
0.0790,1.5660
0.0797,1.5586
0.0804,1.5660
0.0810,1.5697
0.0817,1.5660
0.0823,1.5660
0.0830,1.5660
0.0837,1.5660
0.0843,1.5586
0.0849,1.5660
0.0856,1.5660
0.0863,1.5660
0.0869,1.5586
0.0876,1.5623
0.0882,1.5660
0.0889,1.5660
0.0895,1.5697
0.0902,1.5660
0.0909,1.5660
0.0915,1.5586
0.0922,1.5586
0.0929,1.5586
0.0935,1.5660
0.0942,1.5623
0.0948,1.5586
0.0956,1.5660
0.0962,1.5660
0.0969,1.5623
0.0976,1.5623
0.0982,1.5660
0.0989,1.5623
0.0995,1.5660
0.1001,1.5660
0.1009,1.5586
0.1015,1.5660
0.1021,1.5586
0.1028,1.5660
0.1035,1.5660
0.1041,1.5660
0.1048,1.5660
0.1054,1.5660
0.1061,1.5660
0.1067,1.5660
0.1074,1.5660
0.1080,1.5660
0.1087,1.5623
0.1093,1.5623
0.1100,1.5586
0.1106,1.5660
0.1113,1.5660
0.1119,1.5660
0.1126,1.5586
0.1133,1.5660
0.1140,1.5660
0.1146,1.5660
0.1153,1.5623
0.1159,1.5623
0.1166,1.5660
0.1173,1.5660
0.1179,1.5623
0.1186,1.5623
0.1192,1.5623
0.1199,1.5623
0.1205,1.5660
0.1212,1.5660
0.1218,1.5660
0.1224,1.5660
0.1231,1.5660
0.1237,1.5623
0.1244,1.5660
0.1251,1.5660
0.1257,1.5586
0.1264,1.5660
0.1270,1.5660
0.1277,1.5586
0.1284,1.5660
0.1290,1.5660
0.1297,1.5660
0.1304,1.5623
0.1310,1.5660
0.1317,1.5697
0.1324,1.5660
0.1330,1.5660
0.1337,1.5586
0.1343,1.5660
0.1350,1.5549
0.1356,1.5660
0.1363,1.5660
0.1372,1.5660
0.1379,1.5623
0.1389,1.5660
0.1400,1.5623
0.1409,1.5623
0.1421,1.5660
0.1429,1.5623
0.1437,1.5660
0.1446,1.5623
0.1453,1.5623
0.1461,1.5623
0.1469,1.5660
0.1477,1.5586
0.1485,1.5586
0.1493,1.5660
0.1501,1.5660
0.1509,1.5660
0.1516,1.5586
0.1524,1.5623
0.1532,1.5660
0.1539,1.5586
0.1548,1.5586
0.1556,1.5660
0.1564,1.5660
0.1572,1.5586
0.1580,1.5586
0.1588,1.5660
0.1597,1.5586
0.1606,1.5660
0.1614,1.5660
0.1622,1.5660
0.1630,1.5623
0.1639,1.5586
0.1648,1.5623
0.1656,1.5623
0.1665,1.5660
0.1675,1.5660
0.1684,1.5586
0.1694,1.5586
0.1702,1.5660
0.1709,1.5660
0.1717,1.5660
0.1724,1.5623
0.1733,1.5660
0.1742,1.5586
0.1750,1.5586
0.1759,1.5549
0.1767,1.5623
0.1775,1.5586
0.1783,1.5660
0.1790,1.5660
0.1798,1.5660
0.1807,1.5660
0.1815,1.5660
0.1826,1.5586
0.1837,1.5660
0.1846,1.5623
0.1855,1.5623
0.1863,1.5660
0.1872,1.5697
0.1881,1.5660
0.1891,1.5660
0.1899,1.5660
0.1909,1.5623
0.1917,1.5660
0.1925,1.5586
0.1934,1.5660
0.1942,1.5586
0.1951,1.5623
0.1960,1.5586
0.1969,1.5623
0.1977,1.5623
0.1985,1.5660
0.1993,1.5660
0.2001,1.5623
0.2009,1.5660
0.2018,1.5660
0.2026,1.5660
0.2035,1.5660
0.2044,1.5660
0.2053,1.5623
0.2062,1.5660
0.2070,1.5586
0.2079,1.5697
0.2090,1.5660
0.2099,1.5660
0.2107,1.5623
0.2114,1.5660
0.2121,1.5660
0.2128,1.5660
0.2135,1.5660
0.2142,1.5660
0.2149,1.5660
0.2156,1.5660
0.2163,1.5586
0.2170,1.5660
0.2176,1.5623
0.2182,1.5586
0.2188,1.5623
0.2194,1.5660
0.2199,1.5623
0.2205,1.5660
0.2211,1.5586
0.2218,1.5660
0.2225,1.5586
0.2232,1.5660
0.2238,1.5549
0.2243,1.5660
0.2249,1.5660
0.2256,1.5623
0.2264,1.5660
0.2272,1.5660
0.2279,1.5697
0.2287,1.5623
0.2294,1.5586
0.2301,1.5660
0.2308,1.5586
0.2315,1.5623
0.2323,1.5660
0.2330,1.5660
0.2338,1.5623
0.2344,1.5623
0.2351,1.5697
0.2358,1.5623
0.2365,1.5623
0.2371,1.5549
0.2379,1.5660
0.2386,1.5623
0.2392,1.5586
0.2399,1.5660
0.2406,1.5660
0.2412,1.5660
0.2419,1.5697
0.2426,1.5660
0.2433,1.5586
0.2439,1.5623
0.2446,1.5660
0.2453,1.5660
0.2460,1.5586
0.2467,1.5660
0.2474,1.5586
0.2481,1.5586
0.2488,1.5660
0.2494,1.5660
0.2501,1.5660
0.2508,1.5623
0.2515,1.5660
0.2522,1.5623
0.2528,1.5660
0.2535,1.5623
0.2542,1.5660
0.2549,1.5660
0.2555,1.5660
0.2562,1.5623
0.2568,1.5623
0.2575,1.5660
0.2581,1.5660
0.2588,1.5660
0.2595,1.5660
0.2601,1.5623
0.2608,1.5660
0.2615,1.5660
0.2622,1.5660
0.2629,1.5623
0.2636,1.5660
0.2642,1.5660
0.2649,1.5586
0.2655,1.5623
0.2662,1.5623
0.2669,1.5586
0.2675,1.5660
0.2682,1.5623
0.2689,1.5623
0.2696,1.5660
0.2702,1.5660
0.2709,1.5623
0.2715,1.5660
0.2722,1.5660
0.2729,1.5697
0.2735,1.5623
0.2742,1.5586
0.2748,1.5697
0.2755,1.5660
0.2761,1.5660
0.2768,1.5660
0.2775,1.5586
0.2782,1.5660
0.2788,1.5660
0.2795,1.5623
0.2802,1.5660
0.2808,1.5660
0.2815,1.5623
0.2823,1.5586
0.2829,1.5623
0.2835,1.5660
0.2842,1.5586
0.2849,1.5623
0.2855,1.5586
0.2862,1.5660
0.2868,1.5660
0.2875,1.5660
0.2882,1.5623
0.2889,1.5660
0.2895,1.5660
0.2902,1.5660
0.2909,1.5623
0.2916,1.5623
0.2923,1.5623
0.2930,1.5660
0.2936,1.5586
0.2942,1.5623
0.2949,1.5660
0.2956,1.5623
0.2963,1.5623
0.2970,1.5623
0.2976,1.5660
0.2983,1.5623
0.2990,1.5623
0.2997,1.5623
0.3007,1.5660
0.3015,1.5660
0.3026,1.5623
0.3036,1.5623
0.3044,1.5660
0.3056,1.5660
0.3066,1.5623
0.3074,1.5660
0.3082,1.5660
0.3090,1.5586
0.3099,1.5660
0.3106,1.5660
0.3115,1.5660
0.3123,1.5623
0.3131,1.5660
0.3140,1.5660
0.3148,1.5660
0.3156,1.5660
0.3164,1.5586
0.3173,1.5586
0.3182,1.5660
0.3190,1.5660
0.3198,1.5586
0.3206,1.5623
0.3215,1.5660
0.3223,1.5660
0.3231,1.5623
0.3239,1.5623
0.3247,1.5660
0.3255,1.5623
0.3264,1.5660
0.3272,1.5623
0.3280,1.5623
0.3288,1.5623
0.3296,1.5660
0.3304,1.5660
0.3312,1.5586
0.3321,1.5660
0.3329,1.5623
0.3337,1.5660
0.3345,1.5660
0.3353,1.5697
0.3361,1.5586
0.3370,1.5697
0.3378,1.5660
0.3386,1.5660
0.3394,1.5660
0.3402,1.5660
0.3411,1.5660
0.3420,1.5660
0.3430,1.5623
0.3441,1.5660
0.3450,1.5586
0.3459,1.5660
0.3469,1.5623
0.3478,1.5660
0.3489,1.5660
0.3497,1.5623
0.3507,1.5623
0.3516,1.5623
0.3525,1.5660
0.3535,1.5623
0.3546,1.5660
0.3555,1.5660
0.3563,1.5623
0.3571,1.5660
0.3579,1.5623
0.3588,1.5623
0.3596,1.5586
0.3603,1.5660
0.3611,1.5660
0.3619,1.5660
0.3628,1.5660
0.3636,1.5660
0.3644,1.5623
0.3654,1.5660
0.3663,1.5660
0.3673,1.5623
0.3683,1.5623
0.3692,1.5660
0.3701,1.5549
