Время[с],Напряжение[В]
0.2310,1.7367
0.2318,1.7330
0.2325,1.7367
0.2333,1.7330
0.2340,1.7404
0.2348,1.7367
0.2355,1.7404
0.2363,1.7293
0.2370,1.7404
0.2378,1.7404
0.2385,1.7404
0.2392,1.7404
0.2400,1.7404
0.2407,1.7404
0.2415,1.7367
0.2423,1.7293
0.2430,1.7367
0.2438,1.7293
0.2445,1.7404
0.2452,1.7330
0.2459,1.7367
0.2466,1.7367
0.2473,1.7367
0.2481,1.7367
0.2487,1.7367
0.2494,1.7367
0.2503,1.7404
0.2512,1.7367
0.2520,1.7330
0.2530,1.7367
0.2669,1.7404
0.2677,1.7367
0.2686,1.7330
0.2694,1.7367
0.2702,1.7367
0.2711,1.7367
0.2718,1.7330
0.2725,1.7367
0.2732,1.7367
0.2743,1.7330
0.2754,1.7293
0.2763,1.7404
0.2773,1.7367
0.2783,1.7330
0.2791,1.7330
0.2799,1.7367
0.2807,1.7293
0.2816,1.7367
0.2824,1.7404
0.2832,1.7367
0.2840,1.7367
0.2848,1.7330
0.2856,1.7367
0.2863,1.7367
0.2871,1.7404
0.2878,1.7330
0.2886,1.7293
0.2893,1.7367
0.2900,1.7367
0.2908,1.7330
0.2916,1.7367
0.2924,1.7367
0.2931,1.7367
0.2938,1.7367
0.2945,1.7367
0.2953,1.7330
0.2960,1.7367
0.2968,1.7367
0.2975,1.7367
0.2982,1.7404
0.2989,1.7367
0.2996,1.7367
0.3004,1.7367
0.3011,1.7367
0.3018,1.7367
0.3026,1.7293
0.3033,1.7367
0.3040,1.7330
0.3047,1.7367
0.3054,1.7367
0.3062,1.7367
0.3069,1.7367
0.3076,1.7293
0.3083,1.7367
0.3090,1.7367
0.3097,1.7330
0.3104,1.7367
0.3111,1.7367
0.3118,1.7367
0.3125,1.7367
0.3133,1.7330
0.3140,1.7367
0.3147,1.7367
0.3154,1.7330
0.3161,1.7330
0.3168,1.7367
0.3175,1.7404
0.3182,1.7404
0.3189,1.7293
0.3196,1.7367
0.3203,1.7330
0.3210,1.7293
0.3217,1.7367
0.3225,1.7367
0.3232,1.7367
0.3240,1.7404
0.3247,1.7367
0.3254,1.7367
0.3261,1.7293
0.3268,1.7367
0.3275,1.7330
0.3282,1.7404
0.3313,1.7293
0.3320,1.7293
0.3327,1.7330
0.3334,1.7293
0.3341,1.7367
0.3348,1.7367
0.3355,1.7367
0.3363,1.7367
0.3370,1.7367
0.3378,1.7367
0.3385,1.7367
0.3393,1.7367
0.3401,1.7367
0.3409,1.7367
0.3417,1.7367
0.3425,1.7404
0.3433,1.7404
0.3440,1.7330
0.3448,1.7367
0.3455,1.7330
0.3464,1.7367
0.3472,1.7367
0.3479,1.7367
0.3486,1.7367
0.3493,1.7367
0.3501,1.7330
0.3508,1.7330
0.3516,1.7330
0.3524,1.7293
0.3532,1.7330
0.3539,1.7404
0.3547,1.7367
0.3555,1.7330
0.3564,1.7367
0.3571,1.7367
0.3579,1.7367
0.3586,1.7293
0.3593,1.7330
0.3601,1.7293
0.3609,1.7293
0.3618,1.7293
0.3625,1.7367
0.3633,1.7404
0.3641,1.7367
0.3649,1.7293
0.3656,1.7330
0.3663,1.7367
0.3671,1.7330
0.3679,1.7293
0.3686,1.7330
0.3693,1.7293
0.3700,1.7367
0.3708,1.7367
0.3715,1.7330
0.3722,1.7367
0.3731,1.7330
0.3741,1.7367
0.3750,1.7256
0.3758,1.7367
0.3766,1.7367
0.3773,1.7367
0.3781,1.7367
0.3788,1.7330
0.3795,1.7293
0.3801,1.7367
0.3807,1.7367
0.3813,1.7293
0.3819,1.7367
0.3824,1.7367
0.3831,1.7367
0.3836,1.7367
0.3843,1.7293
0.3849,1.7367
0.3855,1.7367
0.3860,1.7330
0.3866,1.7367
0.3872,1.7256
0.3878,1.7404
0.3884,1.7367
0.3890,1.7367
0.3897,1.7367
0.3903,1.7367
0.3909,1.7367
0.3916,1.7256
0.3923,1.7330
0.3930,1.7367
0.3937,1.7367
0.3944,1.7293
0.3951,1.7367
0.3958,1.7293
0.3965,1.7330
0.3972,1.7293
0.3980,1.7330
0.3987,1.7404
0.3994,1.7330
0.4001,1.7367
0.4009,1.7330
0.4016,1.7367
0.4024,1.7330
0.4031,1.7367
0.4039,1.7367
0.4046,1.7330
0.4053,1.7367
0.4060,1.7404
0.4068,1.7330
0.4075,1.7256
0.4083,1.7367
0.4090,1.7367
0.4097,1.7293
0.4105,1.7404
0.4112,1.7330
0.4119,1.7293
0.4127,1.7367
0.4134,1.7330
0.4141,1.7330
0.4149,1.7367
0.4156,1.7293
0.4163,1.7367
0.4171,1.7330
0.4177,1.7367
0.4184,1.7367
0.4192,1.7330
0.4199,1.7330
0.4206,1.7404
0.4214,1.7367
0.4221,1.7367
0.4228,1.7330
0.4235,1.7293
0.4242,1.7330
0.4249,1.7367
0.4256,1.7330
0.4263,1.7367
0.4270,1.7367
0.4277,1.7367
0.4284,1.7330
0.4291,1.7367
0.4298,1.7367
0.4305,1.7367
0.4313,1.7293
0.4320,1.7293
0.4327,1.7367
0.4334,1.7293
0.4342,1.7293
0.4349,1.7367
0.4356,1.7367
0.4363,1.7256
0.4371,1.7367
0.4377,1.7367
0.4384,1.7367
0.4391,1.7330
0.4399,1.7330
0.4406,1.7367
0.4413,1.7404
0.4420,1.7330
0.4427,1.7367
0.4434,1.7330
0.4441,1.7330
0.4449,1.7330
0.4456,1.7367
0.4463,1.7330
0.4471,1.7367
0.4478,1.7330
0.4485,1.7293
0.4493,1.7404
0.4500,1.7367
0.4507,1.7330
0.4514,1.7330
0.4521,1.7367
0.4528,1.7293
0.4536,1.7330
0.4542,1.7330
0.4549,1.7367
0.4557,1.7330
0.4564,1.7330
0.4572,1.7293
0.4579,1.7367
0.4585,1.7367
0.4593,1.7367
0.4600,1.7367
0.4607,1.7367
0.4614,1.7367
0.4622,1.7293
0.4629,1.7293
0.4637,1.7330
0.4647,1.7367
0.4657,1.7367
0.4667,1.7367
0.4677,1.7367
0.4689,1.7330
0.4698,1.7367
0.4705,1.7293
0.4713,1.7367
0.4720,1.7367
0.4728,1.7367
0.4735,1.7293
0.4743,1.7367
0.4750,1.7330
0.4758,1.7330
0.4766,1.7367
0.4773,1.7330
0.4781,1.7367
0.4788,1.7330
0.4796,1.7330
0.4804,1.7367
0.4812,1.7330
