Время[с],Напряжение[В]
0.0006,0.8424
0.0013,0.8461
0.0019,0.8461
0.0026,0.8424
0.0032,0.8424
0.0039,0.8424
0.0046,0.8461
0.0053,0.8387
0.0061,0.8461
0.0069,0.8424
0.0076,0.8461
0.0084,0.8461
0.0092,0.8424
0.0099,0.8424
0.0106,0.8424
0.0113,0.8461
0.0120,0.8461
0.0127,0.8461
0.0134,0.8461
0.0141,0.8424
0.0148,0.8424
0.0154,0.8387
0.0161,0.8461
0.0167,0.8424
0.0174,0.8424
0.0181,0.8461
0.0187,0.8461
0.0194,0.8461
0.0200,0.8461
0.0207,0.8461
0.0213,0.8461
0.0220,0.8461
0.0227,0.8461
0.0245,0.8461
0.0252,0.8461
0.0259,0.8424
0.0266,0.8424
0.0273,0.8424
0.0280,0.8424
0.0288,0.8461
0.0295,0.8424
0.0302,0.8461
0.0309,0.8461
0.0317,0.8461
0.0324,0.8461
0.0330,0.8461
0.0338,0.8387
0.0345,0.8387
0.0352,0.8461
0.0359,0.8461
0.0366,0.8461
0.0374,0.8424
0.0382,0.8461
0.0389,0.8424
0.0397,0.8424
0.0405,0.8461
0.0412,0.8461
0.0420,0.8461
0.0427,0.8461
0.0435,0.8498
0.0443,0.8424
0.0452,0.8424
0.0459,0.8424
0.0466,0.8424
0.0473,0.8424
0.0480,0.8461
0.0488,0.8461
0.0496,0.8461
0.0505,0.8461
0.0512,0.8424
0.0519,0.8461
0.0526,0.8461
0.0533,0.8424
0.0539,0.8461
0.0546,0.8461
0.0553,0.8461
0.0559,0.8424
0.0566,0.8424
0.0572,0.8424
0.0580,0.8424
0.0589,0.8424
0.0596,0.8424
0.0603,0.8461
0.0611,0.8424
0.0618,0.8387
0.0624,0.8424
0.0630,0.8424
0.0635,0.8461
0.0641,0.8424
0.0646,0.8424
0.0652,0.8424
0.0657,0.8424
0.0663,0.8424
0.0669,0.8424
0.0674,0.8424
0.0680,0.8424
0.0686,0.8461
0.0692,0.8424
0.0698,0.8461
0.0703,0.8461
0.0709,0.8461
0.0715,0.8387
0.0720,0.8424
0.0726,0.8424
0.0732,0.8461
0.0737,0.8424
0.0743,0.8461
0.0749,0.8424
0.0756,0.8424
0.0762,0.8424
0.0769,0.8461
0.0776,0.8461
0.0783,0.8461
0.0789,0.8424
0.0796,0.8424
0.0803,0.8461
0.0810,0.8424
0.0817,0.8424
0.0824,0.8461
0.0831,0.8461
0.0837,0.8424
0.0845,0.8424
0.0852,0.8461
0.0859,0.8424
0.0865,0.8424
0.0872,0.8461
0.0878,0.8424
0.0885,0.8424
0.0892,0.8461
0.0900,0.8424
0.0907,0.8461
0.0914,0.8461
0.0922,0.8424
0.0929,0.8461
0.0936,0.8387
0.0944,0.8461
0.0950,0.8424
0.0958,0.8424
0.0965,0.8424
0.0973,0.8424
0.0980,0.8461
0.0988,0.8461
0.0995,0.8424
0.1002,0.8424
0.1009,0.8461
0.1017,0.8424
0.1024,0.8461
0.1031,0.8461
0.1039,0.8461
0.1046,0.8461
0.1054,0.8424
0.1061,0.8424
0.1068,0.8498
0.1075,0.8461
0.1082,0.8461
0.1089,0.8461
0.1096,0.8424
0.1103,0.8461
0.1110,0.8424
0.1117,0.8461
0.1124,0.8461
0.1132,0.8461
0.1139,0.8424
0.1146,0.8424
0.1153,0.8461
0.1160,0.8424
0.1167,0.8424
0.1174,0.8461
0.1182,0.8424
0.1189,0.8461
0.1196,0.8461
0.1203,0.8461
0.1210,0.8424
0.1217,0.8387
0.1224,0.8461
0.1231,0.8461
0.1238,0.8461
0.1245,0.8461
0.1252,0.8461
0.1260,0.8424
0.1266,0.8461
0.1273,0.8424
0.1280,0.8424
0.1287,0.8424
0.1293,0.8424
0.1299,0.8461
0.1305,0.8424
0.1312,0.8424
0.1318,0.8461
0.1324,0.8424
0.1330,0.8461
0.1337,0.8424
0.1344,0.8461
0.1352,0.8461
0.1359,0.8461
0.1365,0.8461
0.1372,0.8424
0.1379,0.8424
0.1386,0.8424
0.1394,0.8424
0.1401,0.8424
0.1408,0.8387
0.1415,0.8461
0.1422,0.8461
0.1429,0.8387
0.1436,0.8424
0.1443,0.8424
0.1450,0.8424
0.1458,0.8461
0.1465,0.8424
0.1472,0.8461
0.1479,0.8424
0.1485,0.8461
0.1492,0.8424
0.1498,0.8387
0.1506,0.8424
0.1513,0.8461
0.1520,0.8461
0.1528,0.8424
0.1535,0.8461
0.1542,0.8424
0.1549,0.8387
0.1555,0.8461
0.1562,0.8387
0.1568,0.8387
0.1575,0.8461
0.1582,0.8424
0.1590,0.8461
0.1597,0.8387
0.1604,0.8461
0.1611,0.8461
0.1619,0.8424
0.1626,0.8424
0.1633,0.8424
0.1639,0.8424
0.1646,0.8387
0.1652,0.8461
0.1659,0.8461
0.1665,0.8424
0.1674,0.8424
0.1684,0.8461
0.1693,0.8461
0.1703,0.8424
0.1714,0.8424
0.1723,0.8461
0.1730,0.8424
0.1738,0.8424
0.1745,0.8424
0.1752,0.8424
0.1760,0.8461
0.1767,0.8461
0.1775,0.8461
0.1783,0.8424
0.1790,0.8461
0.1798,0.8424
0.1806,0.8461
0.1813,0.8461
0.1820,0.8387
0.1828,0.8461
0.1835,0.8424
0.1843,0.8424
0.1851,0.8424
0.1859,0.8424
0.1867,0.8424
0.1874,0.8387
0.1882,0.8424
0.1890,0.8461
0.1897,0.8461
0.1904,0.8461
0.1911,0.8461
0.1918,0.8424
0.1925,0.8461
0.1932,0.8424
0.1939,0.8424
0.1947,0.8461
0.1955,0.8424
0.1963,0.8387
0.1971,0.8424
0.1978,0.8424
0.1986,0.8461
0.1994,0.8461
0.2002,0.8424
0.2009,0.8424
0.2017,0.8424
0.2024,0.8424
0.2031,0.8424
0.2039,0.8461
0.2046,0.8424
0.2053,0.8424
0.2062,0.8387
0.2069,0.8461
0.2077,0.8424
0.2084,0.8424
0.2091,0.8461
0.2099,0.8461
0.2106,0.8424
0.2115,0.8424
0.2122,0.8424
0.2130,0.8424
0.2137,0.8424
0.2145,0.8387
0.2152,0.8461
0.2159,0.8461
0.2166,0.8424
0.2173,0.8461
0.2180,0.8461
0.2186,0.8461
0.2193,0.8461
0.2200,0.8424
0.2207,0.8387
0.2214,0.8424
0.2221,0.8461
0.2228,0.8461
0.2235,0.8387
0.2241,0.8424
0.2249,0.8424
0.2255,0.8461
0.2262,0.8461
0.2270,0.8461
0.2277,0.8424
0.2285,0.8461
0.2293,0.8424
0.2300,0.8424
0.2307,0.8461
0.2315,0.8424
0.2322,0.8424
0.2330,0.8424
0.2338,0.8461
0.2346,0.8424
0.2353,0.8461
0.2361,0.8424
0.2368,0.8424
0.2375,0.8424
0.2382,0.8461
0.2388,0.8424
0.2397,0.8424
0.2406,0.8424
0.2415,0.8461
0.2424,0.8461
0.2431,0.8424
0.2437,0.8461
0.2444,0.8461
0.2453,0.8424
0.2463,0.8461
0.2472,0.8498
0.2480,0.8387
0.2489,0.8424
0.2498,0.8424
0.2507,0.8424
0.2515,0.8461
0.2522,0.8424
0.2529,0.8424
0.2536,0.8461
0.2543,0.8461
0.2550,0.8461
0.2558,0.8461
0.2565,0.8424
