Время[с],Напряжение[В]
0.0006,1.1875
0.0012,1.1912
0.0019,1.1875
0.0025,1.1875
0.0031,1.1875
0.0038,1.1801
0.0045,1.1875
0.0051,1.1875
0.0058,1.1875
0.0064,1.1875
0.0071,1.1875
0.0079,1.1875
0.0086,1.1875
0.0093,1.1838
0.0102,1.1912
0.0109,1.1875
0.0116,1.1838
0.0122,1.1875
0.0129,1.1875
0.0135,1.1875
0.0142,1.1875
0.0149,1.1875
0.0156,1.1838
0.0163,1.1875
0.0170,1.1875
0.0177,1.1912
0.0183,1.1875
0.0190,1.1912
0.0197,1.1875
0.0204,1.1875
0.0210,1.1875
0.0217,1.1875
0.0223,1.1912
0.0229,1.1912
0.0236,1.1838
0.0244,1.1875
0.0251,1.1875
0.0259,1.1912
0.0266,1.1875
0.0273,1.1875
0.0280,1.1875
0.0287,1.1912
0.0293,1.1875
0.0302,1.1875
0.0309,1.1875
0.0316,1.1912
0.0323,1.1875
0.0330,1.1912
0.0338,1.1875
0.0345,1.1875
0.0352,1.1912
0.0359,1.1912
0.0366,1.1875
0.0373,1.1838
0.0380,1.1912
0.0387,1.1875
0.0393,1.1875
0.0400,1.1875
0.0407,1.1912
0.0414,1.1875
0.0420,1.1912
0.0427,1.1875
0.0434,1.1875
0.0441,1.1912
0.0448,1.1875
0.0455,1.1875
0.0462,1.1875
0.0470,1.1838
0.0477,1.1912
0.0484,1.1912
0.0491,1.1875
0.0498,1.1875
0.0506,1.1912
0.0513,1.1875
0.0521,1.1875
0.0527,1.1875
0.0534,1.1875
0.0541,1.1875
0.0547,1.1875
0.0553,1.1875
0.0560,1.1875
0.0566,1.1875
0.0572,1.1875
0.0579,1.1875
0.0586,1.1875
0.0595,1.1912
0.0603,1.1875
0.0610,1.1875
0.0619,1.1875
0.0625,1.1875
0.0632,1.1875
0.0639,1.1912
0.0646,1.1912
0.0652,1.1875
0.0658,1.1875
0.0663,1.1875
0.0669,1.1875
0.0674,1.1875
0.0680,1.1912
0.0685,1.1838
0.0691,1.1875
0.0697,1.1912
0.0792,1.1875
0.0799,1.1875
0.0806,1.1875
0.0813,1.1875
0.0819,1.1875
0.0826,1.1875
0.0833,1.1875
0.0840,1.1912
0.0847,1.1912
0.0854,1.1875
0.0860,1.1875
0.0867,1.1875
0.0873,1.1875
0.0879,1.1875
0.0886,1.1875
0.0892,1.1912
0.0899,1.1875
0.0906,1.1875
0.0912,1.1912
0.0918,1.1875
0.0925,1.1875
0.0931,1.1912
0.0938,1.1875
0.0945,1.1875
0.0952,1.1912
0.0959,1.1875
0.0965,1.1875
0.0971,1.1875
0.0977,1.1912
0.0984,1.1912
0.0990,1.1875
0.0996,1.1875
0.1003,1.1875
0.1010,1.1912
0.1017,1.1875
0.1023,1.1912
0.1030,1.1875
0.1037,1.1875
0.1043,1.1875
0.1050,1.1875
0.1056,1.1875
0.1063,1.1838
0.1070,1.1875
0.1076,1.1875
0.1082,1.1875
0.1089,1.1875
0.1095,1.1912
0.1102,1.1912
0.1109,1.1912
0.1116,1.1875
0.1123,1.1912
0.1130,1.1875
0.1136,1.1875
0.1143,1.1875
0.1150,1.1912
0.1157,1.1875
0.1164,1.1912
0.1171,1.1912
0.1177,1.1875
0.1184,1.1875
0.1191,1.1912
0.1197,1.1875
0.1204,1.1875
0.1210,1.1875
0.1217,1.1912
0.1223,1.1912
0.1230,1.1875
0.1237,1.1875
0.1244,1.1838
0.1250,1.1875
0.1257,1.1912
0.1264,1.1838
0.1271,1.1875
0.1278,1.1912
0.1285,1.1912
0.1291,1.1875
0.1299,1.1875
0.1306,1.1912
0.1313,1.1875
0.1319,1.1875
0.1326,1.1875
0.1332,1.1912
0.1339,1.1875
0.1345,1.1875
0.1351,1.1875
0.1358,1.1912
0.1364,1.1875
0.1371,1.1838
0.1377,1.1875
0.1383,1.1875
0.1390,1.1875
0.1397,1.1912
0.1403,1.1875
0.1410,1.1838
0.1416,1.1875
0.1423,1.1875
0.1429,1.1875
0.1436,1.1912
0.1443,1.1875
0.1451,1.1875
0.1460,1.1875
0.1469,1.1801
0.1477,1.1912
0.1489,1.1875
0.1498,1.1875
0.1505,1.1875
0.1512,1.1875
0.1519,1.1875
0.1526,1.1875
0.1533,1.1875
0.1540,1.1875
0.1547,1.1912
0.1555,1.1875
0.1563,1.1875
0.1570,1.1912
0.1577,1.1912
0.1584,1.1875
0.1591,1.1912
0.1597,1.1875
0.1604,1.1912
0.1611,1.1838
0.1618,1.1838
0.1625,1.1875
0.1632,1.1838
0.1639,1.1875
0.1645,1.1875
0.1652,1.1912
0.1659,1.1875
0.1666,1.1838
0.1673,1.1875
0.1681,1.1875
0.1691,1.1912
0.1699,1.1875
0.1707,1.1875
0.1714,1.1875
0.1722,1.1912
0.1730,1.1875
0.1739,1.1875
0.1747,1.1875
0.1756,1.1875
0.1763,1.1912
