Время[с],Напряжение[В]
0.2239,1.8926
0.2246,1.8852
0.2253,1.8889
0.2260,1.8926
0.2266,1.8889
0.2274,1.8926
0.2281,1.8889
0.2289,1.8926
0.2296,1.8889
0.2302,1.8926
0.2309,1.8889
0.2317,1.8926
0.2324,1.8926
0.2331,1.8889
0.2338,1.8889
0.2345,1.8852
0.2352,1.8926
0.2361,1.8814
0.2368,1.8889
0.2376,1.8852
0.2383,1.8926
0.2390,1.8926
0.2397,1.8889
0.2405,1.8889
0.2413,1.8852
0.2421,1.8889
0.2428,1.8889
0.2436,1.8889
0.2443,1.8814
0.2451,1.8889
0.2459,1.8852
0.2467,1.8926
0.2475,1.8889
0.2482,1.8889
0.2490,1.8889
0.2497,1.8926
0.2505,1.8852
0.2513,1.8814
0.2521,1.8852
0.2529,1.8889
0.2537,1.8889
0.2545,1.8852
0.2553,1.8814
0.2561,1.8889
0.2570,1.8852
0.2578,1.8814
0.2586,1.8889
0.2594,1.8889
0.2603,1.8852
0.2611,1.8889
0.2619,1.8777
0.2627,1.8889
0.2635,1.8889
0.2643,1.8889
0.2651,1.8852
0.2658,1.8814
0.2665,1.8889
0.2672,1.8889
0.2684,1.8889
0.2695,1.8852
0.2706,1.8852
0.2714,1.8852
0.2721,1.8852
0.2728,1.8852
0.2735,1.8889
0.2742,1.8814
0.2749,1.8889
0.2756,1.8889
0.2763,1.8852
0.2770,1.8852
0.2780,1.8889
0.2791,1.8852
0.2801,1.8777
0.2812,1.8814
0.2821,1.8889
0.2831,1.8889
0.2839,1.8852
0.2846,1.8852
0.2853,1.8852
0.2860,1.8814
0.2867,1.8852
0.2874,1.8852
0.2881,1.8814
0.2888,1.8814
0.2896,1.8814
0.2903,1.8852
0.2910,1.8852
0.2918,1.8852
0.2926,1.8814
0.2934,1.8814
0.2942,1.8852
0.2949,1.8740
0.2957,1.8889
0.2964,1.8852
0.2972,1.8777
0.2980,1.8852
0.2987,1.8814
0.2994,1.8852
0.3001,1.8740
0.3008,1.8852
0.3015,1.8852
0.3022,1.8852
0.3029,1.8852
0.3036,1.8777
