Время[с],Напряжение[В]
0.0006,0.4824
0.0012,0.4824
0.0019,0.4824
0.0025,0.4824
0.0032,0.4824
0.0039,0.4824
0.0046,0.4824
0.0053,0.4824
0.0060,0.4861
0.0066,0.4861
0.0074,0.4824
0.0082,0.4861
0.0089,0.4861
0.0095,0.4824
0.0103,0.4824
0.0110,0.4824
0.0118,0.4824
0.0125,0.4824
0.0132,0.4824
0.0139,0.4824
0.0146,0.4824
0.0153,0.4824
0.0160,0.4824
0.0168,0.4787
0.0175,0.4861
0.0182,0.4861
0.0290,0.4824
0.0296,0.4861
0.0303,0.4824
0.0309,0.4824
0.0316,0.4824
0.0322,0.4824
0.0328,0.4824
0.0334,0.4824
0.0340,0.4824
0.0347,0.4787
0.0353,0.4824
0.0360,0.4861
0.0368,0.4787
0.0376,0.4861
0.0383,0.4824
0.0390,0.4861
0.0398,0.4861
0.0406,0.4861
0.0413,0.4787
0.0421,0.4824
0.0428,0.4861
0.0435,0.4787
0.0443,0.4861
0.0450,0.4824
0.0457,0.4824
0.0464,0.4824
0.0471,0.4824
0.0479,0.4824
0.0486,0.4824
0.0493,0.4861
0.0499,0.4824
0.0506,0.4861
0.0513,0.4824
0.0520,0.4824
0.0527,0.4824
0.0534,0.4824
0.0541,0.4787
0.0547,0.4824
0.0554,0.4824
0.0561,0.4824
0.0568,0.4861
0.0576,0.4861
0.0583,0.4824
0.0590,0.4824
0.0598,0.4787
0.0605,0.4861
0.0612,0.4824
0.0619,0.4861
0.0625,0.4824
0.0631,0.4824
0.0636,0.4824
0.0642,0.4824
0.0647,0.4824
0.0653,0.4861
0.0659,0.4824
0.0664,0.4824
0.0670,0.4861
0.0675,0.4787
0.0681,0.4824
0.0687,0.4824
0.0693,0.4824
0.0699,0.4861
0.0704,0.4787
0.0710,0.4824
0.0715,0.4824
0.0721,0.4824
0.0727,0.4787
0.0733,0.4824
0.0739,0.4824
0.0746,0.4861
0.0752,0.4787
0.0759,0.4824
0.0766,0.4824
0.0772,0.4861
0.0778,0.4861
0.0784,0.4824
0.0790,0.4824
0.0796,0.4824
0.0802,0.4824
0.0808,0.4824
0.0815,0.4824
0.0822,0.4787
0.0829,0.4824
0.0836,0.4824
0.0843,0.4861
0.0850,0.4787
0.0857,0.4861
0.0864,0.4861
0.0871,0.4824
0.0879,0.4787
0.0886,0.4824
0.0893,0.4824
0.0900,0.4787
0.0907,0.4824
0.0914,0.4824
0.0921,0.4824
0.0928,0.4824
0.0935,0.4824
0.0942,0.4861
0.0948,0.4824
0.0955,0.4861
0.0961,0.4824
0.0967,0.4824
0.0974,0.4824
0.0981,0.4861
0.0988,0.4861
0.0994,0.4861
0.1000,0.4824
0.1006,0.4861
0.1012,0.4824
0.1018,0.4787
0.1025,0.4861
0.1031,0.4824
0.1036,0.4824
0.1042,0.4824
0.1048,0.4824
0.1054,0.4824
0.1060,0.4824
0.1065,0.4824
0.1071,0.4787
0.1077,0.4824
0.1082,0.4824
0.1088,0.4824
0.1094,0.4861
0.1100,0.4824
0.1106,0.4861
0.1112,0.4824
0.1117,0.4824
0.1123,0.4861
0.1129,0.4824
0.1135,0.4824
0.1140,0.4824
0.1147,0.4824
0.1155,0.4861
0.1162,0.4824
0.1168,0.4787
0.1175,0.4824
0.1181,0.4861
0.1188,0.4824
0.1195,0.4824
0.1203,0.4861
0.1211,0.4824
0.1218,0.4861
0.1225,0.4824
0.1231,0.4824
0.1237,0.4824
0.1243,0.4824
0.1251,0.4824
0.1258,0.4824
0.1265,0.4824
0.1272,0.4787
0.1279,0.4787
0.1286,0.4787
0.1293,0.4824
0.1301,0.4861
0.1308,0.4824
0.1315,0.4787
0.1321,0.4824
0.1328,0.4824
0.1334,0.4824
0.1341,0.4824
0.1348,0.4824
0.1355,0.4824
0.1363,0.4824
0.1370,0.4824
0.1377,0.4861
0.1383,0.4787
0.1390,0.4824
0.1396,0.4861
0.1402,0.4824
0.1408,0.4824
0.1413,0.4824
0.1419,0.4824
0.1425,0.4824
0.1431,0.4824
0.1437,0.4824
0.1442,0.4824
0.1448,0.4824
0.1454,0.4824
0.1460,0.4824
0.1466,0.4787
0.1471,0.4824
0.1477,0.4824
0.1483,0.4824
0.1489,0.4824
0.1495,0.4824
0.1501,0.4861
0.1506,0.4824
0.1512,0.4824
0.1518,0.4824
0.1524,0.4824
0.1531,0.4824
0.1536,0.4824
0.1543,0.4861
0.1551,0.4787
0.1558,0.4824
0.1564,0.4861
0.1571,0.4824
0.1578,0.4861
0.1584,0.4824
0.1591,0.4787
0.1598,0.4861
0.1604,0.4824
0.1611,0.4861
0.1618,0.4824
0.1625,0.4824
0.1632,0.4787
0.1639,0.4824
0.1647,0.4861
0.1656,0.4824
0.1665,0.4824
0.1673,0.4824
0.1680,0.4824
0.1688,0.4824
0.1695,0.4861
0.1703,0.4824
0.1710,0.4824
0.1719,0.4824
0.1727,0.4824
0.1734,0.4824
0.1741,0.4824
0.1749,0.4824
0.1755,0.4861
0.1762,0.4824
0.1769,0.4824
0.1776,0.4824
0.1783,0.4824
0.1790,0.4824
0.1796,0.4824
0.1803,0.4824
0.1810,0.4824
0.1817,0.4824
0.1825,0.4861
0.1833,0.4824
0.1840,0.4824
0.1847,0.4824
0.1855,0.4824
0.1862,0.4824
0.1870,0.4787
0.1877,0.4824
0.1885,0.4824
0.1892,0.4787
0.1899,0.4824
0.1907,0.4824
0.1914,0.4861
0.1921,0.4824
0.1928,0.4824
0.1935,0.4824
0.1942,0.4824
0.1949,0.4824
0.1957,0.4787
0.1968,0.4824
0.1976,0.4824
0.1983,0.4824
0.1991,0.4824
0.2000,0.4824
0.2008,0.4787
0.2016,0.4787
0.2024,0.4824
0.2032,0.4861
0.2041,0.4787
0.2049,0.4861
0.2056,0.4824
0.2063,0.4824
0.2070,0.4824
0.2077,0.4824
0.2085,0.4824
0.2092,0.4861
0.2099,0.4824
0.2107,0.4824
0.2114,0.4824
0.2121,0.4824
0.2128,0.4824
0.2136,0.4824
0.2143,0.4824
0.2150,0.4824
0.2157,0.4824
0.2164,0.4861
0.2171,0.4824
0.2178,0.4824
0.2186,0.4824
0.2195,0.4824
0.2204,0.4861
0.2214,0.4861
0.2221,0.4824
0.2228,0.4824
0.2236,0.4861
0.2243,0.4824
0.2250,0.4824
0.2257,0.4787
0.2265,0.4824
0.2272,0.4861
0.2282,0.4824
0.2292,0.4824
0.2302,0.4824
0.2311,0.4824
0.2318,0.4861
0.2325,0.4861
0.2332,0.4824
0.2339,0.4787
0.2348,0.4824
0.2358,0.4824
0.2367,0.4824
0.2376,0.4824
0.2385,0.4824
0.2393,0.4824
0.2402,0.4787
0.2413,0.4824
0.2423,0.4824
0.2431,0.4824
0.2439,0.4824
0.2447,0.4861
0.2454,0.4824
0.2461,0.4824
0.2469,0.4824
0.2476,0.4824
0.2483,0.4861
0.2490,0.4861
0.2497,0.4824
0.2504,0.4861
0.2511,0.4824
0.2518,0.4824
0.2526,0.4787
0.2533,0.4824
0.2541,0.4861
0.2548,0.4787
0.2555,0.4824
0.2562,0.4824
0.2569,0.4824
0.2577,0.4861
0.2584,0.4787
0.2591,0.4824
0.2598,0.4824
0.2605,0.4787
0.2612,0.4824
0.2619,0.4861
0.2626,0.4824
0.2633,0.4824
0.2641,0.4824
0.2648,0.4824
0.2655,0.4824
0.2662,0.4861
0.2669,0.4861
0.2676,0.4824
0.2683,0.4824
0.2690,0.4861
0.2697,0.4824
0.2704,0.4824
0.2711,0.4861
0.2718,0.4824
0.2726,0.4824
0.2733,0.4824
0.2740,0.4824
0.2747,0.4787
0.2754,0.4824
0.2761,0.4824
0.2768,0.4824
0.2775,0.4824
0.2782,0.4787
0.2790,0.4824
0.2797,0.4861
0.2804,0.4824
0.2811,0.4824
0.2818,0.4787
0.2825,0.4824
0.2833,0.4824
0.2840,0.4824
0.2847,0.4824
0.2854,0.4861
0.2861,0.4787
0.2868,0.4824
0.2876,0.4861
0.2883,0.4824
0.2891,0.4824
0.2898,0.4824
0.2905,0.4824
0.2912,0.4824
0.2920,0.4824
0.2927,0.4861
0.2934,0.4824
0.2941,0.4824
0.2948,0.4824
0.2956,0.4787
0.2963,0.4787
0.2970,0.4861
0.2977,0.4861
0.2984,0.4824
0.2992,0.4824
0.2999,0.4824
0.3006,0.4824
0.3013,0.4861
0.3020,0.4861
0.3028,0.4824
0.3035,0.4824
0.3042,0.4824
0.3049,0.4824
0.3057,0.4824
0.3064,0.4861
0.3071,0.4824
0.3079,0.4824
0.3086,0.4824
0.3094,0.4824
0.3101,0.4824
0.3108,0.4824
0.3115,0.4824
0.3122,0.4824
0.3129,0.4824
0.3137,0.4861
0.3144,0.4861
0.3151,0.4824
0.3158,0.4824
0.3165,0.4824
0.3173,0.4824
0.3180,0.4824
0.3187,0.4861
0.3194,0.4861
0.3201,0.4824
0.3208,0.4824
0.3216,0.4824
0.3223,0.4824
0.3230,0.4824
0.3236,0.4824
0.3244,0.4824
0.3251,0.4824
0.3258,0.4824
0.3265,0.4824
0.3272,0.4824
0.3279,0.4824
0.3286,0.4824
0.3294,0.4824
0.3301,0.4824
0.3308,0.4861
0.3315,0.4824
0.3322,0.4861
0.3329,0.4861
0.3336,0.4787
0.3343,0.4824
0.3350,0.4824
0.3357,0.4824
0.3365,0.4824
0.3372,0.4824
0.3379,0.4824
0.3386,0.4824
0.3394,0.4824
0.3401,0.4861
0.3409,0.4824
0.3416,0.4824
0.3423,0.4861
0.3430,0.4824
0.3438,0.4861
0.3445,0.4787
0.3452,0.4861
0.3460,0.4787
0.3467,0.4824
0.3474,0.4824
0.3481,0.4824
0.3488,0.4787
0.3495,0.4824
0.3502,0.4861
0.3509,0.4824
0.3515,0.4824
0.3522,0.4824
0.3530,0.4861
0.3538,0.4787
0.3545,0.4824
0.3552,0.4787
0.3559,0.4787
0.3567,0.4824
0.3575,0.4824
0.3582,0.4824
0.3589,0.4824
0.3596,0.4824
0.3603,0.4861
0.3610,0.4824
0.3616,0.4824
0.3623,0.4787
0.3630,0.4861
0.3636,0.4861
0.3646,0.4824
0.3654,0.4861
0.3661,0.4861
0.3667,0.4824
0.3673,0.4824
0.3678,0.4824
0.3684,0.4824
0.3691,0.4861
0.3698,0.4861
0.3704,0.4824
0.3710,0.4861
0.3715,0.4861
0.3721,0.4861
0.3727,0.4824
0.3733,0.4861
0.3739,0.4824
0.3745,0.4824
0.3751,0.4824
0.3757,0.4861
0.3763,0.4787
0.3769,0.4824
0.3776,0.4824
0.3782,0.4824
0.3788,0.4824
0.3794,0.4824
0.3800,0.4861
0.3806,0.4824
0.3813,0.4824
0.3819,0.4861
0.3826,0.4861
0.3832,0.4824
0.3838,0.4824
0.3845,0.4824
0.3852,0.4861
0.3859,0.4861
0.3866,0.4861
0.3872,0.4824
0.3879,0.4861
0.3885,0.4824
0.3892,0.4861
0.3899,0.4861
0.3905,0.4824
0.3912,0.4824
0.3918,0.4824
0.3925,0.4824
0.3931,0.4824
0.3937,0.4824
0.3944,0.4824
0.3950,0.4861
0.3957,0.4861
0.3964,0.4824
0.3971,0.4824
0.3978,0.4787
0.3985,0.4824
0.3991,0.4861
0.3998,0.4824
0.4004,0.4824
0.4011,0.4824
0.4017,0.4824
0.4024,0.4824
0.4030,0.4824
0.4037,0.4824
0.4044,0.4861
0.4050,0.4861
0.4057,0.4861
0.4063,0.4824
0.4070,0.4824
0.4076,0.4861
0.4083,0.4824
0.4090,0.4824
0.4096,0.4787
0.4103,0.4824
0.4110,0.4824
0.4116,0.4861
0.4123,0.4824
0.4129,0.4861
0.4135,0.4824
0.4143,0.4824
0.4150,0.4824
0.4157,0.4824
0.4163,0.4824
0.4170,0.4824
0.4177,0.4824
0.4184,0.4824
0.4191,0.4824
0.4198,0.4824
0.4205,0.4824
0.4212,0.4824
0.4219,0.4824
0.4226,0.4787
0.4233,0.4861
0.4240,0.4861
0.4246,0.4824
0.4253,0.4824
0.4260,0.4824
0.4267,0.4824
0.4274,0.4861
0.4281,0.4824
0.4287,0.4824
0.4295,0.4824
0.4302,0.4861
0.4310,0.4824
0.4317,0.4824
0.4324,0.4824
0.4331,0.4824
0.4338,0.4787
0.4346,0.4824
0.4353,0.4861
0.4360,0.4824
0.4367,0.4861
0.4374,0.4824
0.4380,0.4787
0.4387,0.4824
0.4393,0.4861
0.4399,0.4824
0.4405,0.4787
0.4411,0.4824
0.4417,0.4861
0.4423,0.4861
0.4429,0.4787
0.4435,0.4861
0.4441,0.4824
0.4447,0.4824
0.4453,0.4824
0.4459,0.4824
0.4465,0.4824
0.4471,0.4824
0.4477,0.4861
0.4483,0.4787
0.4490,0.4861
0.4497,0.4787
0.4503,0.4824
0.4510,0.4824
0.4516,0.4824
0.4522,0.4787
0.4529,0.4824
0.4535,0.4824
0.4541,0.4824
0.4548,0.4824
0.4555,0.4824
0.4562,0.4787
0.4568,0.4824
0.4575,0.4824
0.4583,0.4824
0.4590,0.4787
0.4597,0.4787
0.4604,0.4861
0.4612,0.4861
0.4619,0.4787
0.4626,0.4824
0.4633,0.4824
0.4640,0.4824
0.4647,0.4824
0.4655,0.4824
0.4662,0.4824
0.4669,0.4824
0.4676,0.4861
0.4684,0.4824
0.4691,0.4787
0.4698,0.4824
0.4705,0.4861
0.4711,0.4861
0.4720,0.4861
0.4729,0.4824
0.4738,0.4824
0.4748,0.4824
0.4756,0.4824
0.4767,0.4824
0.4776,0.4861
0.4783,0.4824
0.4790,0.4824
0.4797,0.4824
0.4804,0.4824
0.4811,0.4824
0.4817,0.4824
0.4824,0.4861
0.4830,0.4861
0.4837,0.4861
0.4844,0.4787
0.4851,0.4861
0.4858,0.4824
0.4865,0.4824
0.4872,0.4824
0.4879,0.4824
0.4886,0.4824
0.4893,0.4824
0.4900,0.4787
0.4907,0.4824
0.4914,0.4861
0.4921,0.4824
0.4927,0.4861
0.4934,0.4824
0.4942,0.4824
0.4949,0.4787
0.4956,0.4824
0.4964,0.4824
0.4971,0.4824
0.4978,0.4824
0.4985,0.4824
0.4992,0.4861
0.5000,0.4861
0.5007,0.4824
0.5014,0.4861
0.5022,0.4824
0.5030,0.4824
0.5037,0.4824
0.5045,0.4824
0.5053,0.4824
0.5061,0.4824
0.5069,0.4861
0.5076,0.4861
0.5084,0.4787
0.5091,0.4824
0.5099,0.4824
0.5107,0.4824
0.5116,0.4861
0.5125,0.4861
0.5134,0.4824
0.5143,0.4824
0.5150,0.4824
0.5158,0.4824
0.5166,0.4824
0.5174,0.4824
0.5182,0.4824
0.5189,0.4861
0.5196,0.4861
0.5203,0.4824
0.5209,0.4861
0.5216,0.4861
0.5223,0.4824
0.5229,0.4824
0.5236,0.4824
0.5243,0.4824
0.5249,0.4787
0.5256,0.4824
0.5263,0.4824
0.5269,0.4824
0.5276,0.4824
0.5282,0.4824
0.5290,0.4787
0.5298,0.4824
0.5306,0.4824
0.5314,0.4861
0.5321,0.4861
0.5327,0.4824
0.5334,0.4824
0.5341,0.4824
0.5348,0.4787
0.5355,0.4824
0.5362,0.4824
0.5368,0.4824
0.5375,0.4824
0.5382,0.4824
0.5443,0.4861
0.5451,0.4787
0.5459,0.4861
0.5466,0.4861
0.5474,0.4824
0.5481,0.4861
0.5488,0.4824
0.5496,0.4787
0.5506,0.4824
0.5517,0.4824
0.5528,0.4787
0.5536,0.4824
0.5544,0.4824
0.5551,0.4824
0.5558,0.4824
0.5566,0.4787
0.5573,0.4824
0.5580,0.4824
0.5587,0.4824
0.5597,0.4787
0.5606,0.4861
0.5615,0.4824
0.5626,0.4787
0.5634,0.4824
0.5642,0.4824
0.5649,0.4824
0.5656,0.4824
0.5663,0.4861
0.5670,0.4824
0.5677,0.4824
0.5684,0.4824
0.5691,0.4861
0.5698,0.4824
0.5706,0.4824
0.5714,0.4824
0.5721,0.4824
0.5728,0.4824
0.5736,0.4861
0.5743,0.4824
0.5751,0.4824
0.5758,0.4824
0.5767,0.4861
0.5774,0.4824
0.5781,0.4824
0.5789,0.4824
0.5796,0.4861
0.5803,0.4824
0.5811,0.4861
0.5819,0.4824
0.5826,0.4824
0.5834,0.4824
0.5842,0.4861
0.5850,0.4824
0.5859,0.4824
0.5868,0.4824
0.5877,0.4824
0.5886,0.4824
0.5894,0.4861
0.5902,0.4824
0.5909,0.4824
0.5917,0.4861
0.5926,0.4824
0.5933,0.4824
0.5941,0.4824
0.5948,0.4824
0.5956,0.4824
0.5964,0.4824
0.5971,0.4824
0.5979,0.4861
0.5987,0.4861
0.5995,0.4824
0.6003,0.4861
0.6012,0.4824
0.6020,0.4824
0.6028,0.4824
0.6036,0.4861
0.6044,0.4824
0.6052,0.4861
0.6058,0.4861
0.6066,0.4861
0.6073,0.4861
0.6080,0.4861
0.6087,0.4824
0.6094,0.4787
0.6101,0.4824
0.6108,0.4824
0.6114,0.4824
0.6124,0.4824
0.6132,0.4824
0.6139,0.4824
0.6147,0.4824
0.6154,0.4824
0.6161,0.4861
