Время[с],Напряжение[В]
0.2281,1.7070
0.2290,1.7070
0.2300,1.7033
0.2308,1.7033
0.2317,1.7070
0.2327,1.7070
0.2336,1.6996
0.2346,1.7070
0.2356,1.7033
0.2364,1.6996
0.2372,1.7070
0.2379,1.7070
0.2387,1.6996
0.2395,1.7107
0.2403,1.7070
0.2411,1.7070
0.2419,1.6959
0.2427,1.6996
0.2435,1.7070
0.2443,1.6996
0.2452,1.7070
0.2461,1.6996
0.2471,1.7070
0.2481,1.6996
0.2491,1.6996
0.2500,1.6996
0.2508,1.7070
0.2515,1.7070
0.2522,1.7070
0.2529,1.7033
0.2536,1.7033
0.2543,1.7033
0.2550,1.7070
0.2558,1.7070
0.2565,1.7070
0.2573,1.7033
0.2581,1.7033
0.2589,1.7070
0.2597,1.7033
0.2605,1.7033
0.2613,1.7033
0.2622,1.7070
0.2631,1.7033
0.2640,1.7033
0.2648,1.7070
0.2656,1.7033
0.2664,1.7070
0.2672,1.7033
0.2679,1.7033
0.2686,1.7070
0.2694,1.6996
0.2701,1.7033
0.2708,1.7070
0.2716,1.7070
0.2724,1.6996
0.2731,1.7070
0.2739,1.6996
0.2746,1.7070
0.2754,1.6996
0.2761,1.7033
0.2768,1.7033
0.2775,1.6996
0.2782,1.7070
0.2792,1.7033
0.2800,1.7070
0.2808,1.7070
0.2817,1.7033
0.2825,1.6996
0.2834,1.7033
0.2843,1.7070
0.2852,1.7033
0.2861,1.7033
0.2869,1.7033
0.2877,1.6959
0.2887,1.6996
0.2894,1.7070
0.2902,1.7033
0.2910,1.6996
0.2918,1.7033
0.2926,1.7070
0.2933,1.6996
0.2941,1.7070
0.2949,1.7070
0.2958,1.6996
0.2966,1.7033
0.2974,1.7033
0.2981,1.7033
0.2989,1.7033
0.2996,1.7033
0.3005,1.6996
0.3012,1.6996
0.3020,1.7033
0.3028,1.7033
0.3036,1.7033
0.3044,1.6959
0.3051,1.7033
0.3059,1.7033
0.3067,1.7033
0.3074,1.7070
0.3083,1.7070
0.3090,1.7033
